,Price Option Lookup,,,,Pricing Unit,,,,,
N,"Pvr City Centre Mall - Guwahati, Christian Basti, Guwahati, Assam",CINEMA000001,SCREEN-4SLIDE,CINEMA000001SCREEN-4SLIDE,#Week(S),WEEK,1,1,90,0
N,"Pvr City Centre Mall - Guwahati, Christian Basti, Guwahati, Assam",CINEMA000001,SCREEN-5ADFILM,CINEMA000001SCREEN-5ADFILM,#Second(s),SECOND,5,10,156,0
N,"Pvr City Centre Mall - Guwahati, Christian Basti, Guwahati, Assam",CINEMA000001,SCREEN-5ADFILM,CINEMA000001SCREEN-5ADFILM,#Week(S),WEEK,1,1,90,0
N,"Pvr, Inox NCS Square Mall, Adabari, Guwahati , Assam",CINEMA000003,SCREEN-1ADFILM,CINEMA000003SCREEN-1ADFILM,#Second(s),SECOND,5,10,156,0
N,"Pvr, Inox NCS Square Mall, Adabari, Guwahati , Assam",CINEMA000003,SCREEN-1ADFILM,CINEMA000003SCREEN-1ADFILM,#Week(S),WEEK,1,1,90,0
N,"Pvr, Inox NCS Square Mall, Adabari, Guwahati , Assam",CINEMA000003,SCREEN-1SLIDE,CINEMA000003SCREEN-1SLIDE,#Second(s),SECOND,5,10,156,0
N,"Pvr, Inox NCS Square Mall, Adabari, Guwahati , Assam",CINEMA000003,SCREEN-1SLIDE,CINEMA000003SCREEN-1SLIDE,#Week(S),WEEK,1,1,90,0
N,"Pvr, Inox NCS Square Mall, Adabari, Guwahati , Assam",CINEMA000003,SCREEN-2ADFILM,CINEMA000003SCREEN-2ADFILM,#Second(s),SECOND,5,10,156,0
N,"Pvr, Inox NCS Square Mall, Adabari, Guwahati , Assam",CINEMA000003,SCREEN-2ADFILM,CINEMA000003SCREEN-2ADFILM,#Week(S),WEEK,1,1,90,0
N,"Pvr, Inox NCS Square Mall, Adabari, Guwahati , Assam",CINEMA000003,SCREEN-2SLIDE,CINEMA000003SCREEN-2SLIDE,#Second(s),SECOND,5,10,156,0
N,"Pvr, Inox NCS Square Mall, Adabari, Guwahati , Assam",CINEMA000003,SCREEN-2SLIDE,CINEMA000003SCREEN-2SLIDE,#Week(S),WEEK,1,1,90,0
N,"Pvr, Inox NCS Square Mall, Adabari, Guwahati , Assam",CINEMA000003,SCREEN-3ADFILM,CINEMA000003SCREEN-3ADFILM,#Second(s),SECOND,5,10,156,0
N,"Pvr, Inox NCS Square Mall, Adabari, Guwahati , Assam",CINEMA000003,SCREEN-3ADFILM,CINEMA000003SCREEN-3ADFILM,#Week(S),WEEK,1,1,90,0
N,"Pvr, Inox NCS Square Mall, Adabari, Guwahati , Assam",CINEMA000003,SCREEN-3SLIDE,CINEMA000003SCREEN-3SLIDE,#Second(s),SECOND,5,10,156,0
N,"Pvr, Inox NCS Square Mall, Adabari, Guwahati , Assam",CINEMA000003,SCREEN-3SLIDE,CINEMA000003SCREEN-3SLIDE,#Week(S),WEEK,1,1,90,0
N,"Pvr, Inox Abs Mall, Jorhat, Assam",CINEMA000004,SCREEN-1ADFILM,CINEMA000004SCREEN-1ADFILM,#Second(s),SECOND,5,10,156,0
N,"Pvr, Inox Abs Mall, Jorhat, Assam",CINEMA000004,SCREEN-1ADFILM,CINEMA000004SCREEN-1ADFILM,#Week(S),WEEK,1,1,90,0
N,"Pvr, Inox Abs Mall, Jorhat, Assam",CINEMA000004,SCREEN-1SLIDE,CINEMA000004SCREEN-1SLIDE,#Second(s),SECOND,5,10,156,0
N,"Pvr, Inox Abs Mall, Jorhat, Assam",CINEMA000004,SCREEN-1SLIDE,CINEMA000004SCREEN-1SLIDE,#Week(S),WEEK,1,1,90,0
N,"Pvr, Inox Abs Mall, Jorhat, Assam",CINEMA000004,SCREEN-2ADFILM,CINEMA000004SCREEN-2ADFILM,#Second(s),SECOND,5,10,156,0
N,"Pvr, Inox Abs Mall, Jorhat, Assam",CINEMA000004,SCREEN-2ADFILM,CINEMA000004SCREEN-2ADFILM,#Week(S),WEEK,1,1,90,0
N,"Pvr, Inox Abs Mall, Jorhat, Assam",CINEMA000004,SCREEN-2SLIDE,CINEMA000004SCREEN-2SLIDE,#Second(s),SECOND,5,10,156,0
N,"Pvr, Inox Abs Mall, Jorhat, Assam",CINEMA000004,SCREEN-2SLIDE,CINEMA000004SCREEN-2SLIDE,#Week(S),WEEK,1,1,90,0
N,"Pvr-TheCinema, Guntur, Andhra Pradesh",CINEMA000005,SCREEN-1ADFILM,CINEMA000005SCREEN-1ADFILM,#Second(s),SECOND,5,10,156,0
N,"Pvr-TheCinema, Guntur, Andhra Pradesh",CINEMA000005,SCREEN-1ADFILM,CINEMA000005SCREEN-1ADFILM,#Week(S),WEEK,1,1,90,0
N,"Pvr-TheCinema, Guntur, Andhra Pradesh",CINEMA000005,SCREEN-1SLIDE,CINEMA000005SCREEN-1SLIDE,#Second(s),SECOND,5,10,156,0
N,"Pvr-TheCinema, Guntur, Andhra Pradesh",CINEMA000005,SCREEN-1SLIDE,CINEMA000005SCREEN-1SLIDE,#Week(S),WEEK,1,1,90,0
N,"Pvr-TheCinema, Guntur, Andhra Pradesh",CINEMA000005,SCREEN-2ADFILM,CINEMA000005SCREEN-2ADFILM,#Second(s),SECOND,5,10,156,0
N,"Pvr-TheCinema, Guntur, Andhra Pradesh",CINEMA000005,SCREEN-2ADFILM,CINEMA000005SCREEN-2ADFILM,#Week(S),WEEK,1,1,90,0
N,"Pvr-TheCinema, Guntur, Andhra Pradesh",CINEMA000005,SCREEN-2SLIDE,CINEMA000005SCREEN-2SLIDE,#Second(s),SECOND,5,10,156,0
N,"Pvr-TheCinema, Guntur, Andhra Pradesh",CINEMA000005,SCREEN-2SLIDE,CINEMA000005SCREEN-2SLIDE,#Week(S),WEEK,1,1,90,0
N,"Pvr-TheCinema, Guntur, Andhra Pradesh",CINEMA000005,SCREEN-3ADFILM,CINEMA000005SCREEN-3ADFILM,#Second(s),SECOND,5,10,156,0
N,"Pvr-TheCinema, Guntur, Andhra Pradesh",CINEMA000005,SCREEN-3ADFILM,CINEMA000005SCREEN-3ADFILM,#Week(S),WEEK,1,1,90,0
N,"Pvr-TheCinema, Guntur, Andhra Pradesh",CINEMA000005,SCREEN-3SLIDE,CINEMA000005SCREEN-3SLIDE,#Second(s),SECOND,5,10,156,0
N,"Pvr-TheCinema, Guntur, Andhra Pradesh",CINEMA000005,SCREEN-3SLIDE,CINEMA000005SCREEN-3SLIDE,#Week(S),WEEK,1,1,90,0
N,"Pvr-TheCinema, Guntur, Andhra Pradesh",CINEMA000005,SCREEN-4ADFILM,CINEMA000005SCREEN-4ADFILM,#Second(s),SECOND,5,10,156,0
N,"Pvr-TheCinema, Guntur, Andhra Pradesh",CINEMA000005,SCREEN-4ADFILM,CINEMA000005SCREEN-4ADFILM,#Week(S),WEEK,1,1,90,0
N,"Pvr-TheCinema, Guntur, Andhra Pradesh",CINEMA000005,SCREEN-4SLIDE,CINEMA000005SCREEN-4SLIDE,#Second(s),SECOND,5,10,156,0
N,"Pvr-TheCinema, Guntur, Andhra Pradesh",CINEMA000005,SCREEN-4SLIDE,CINEMA000005SCREEN-4SLIDE,#Week(S),WEEK,1,1,90,0
N,"Pvr-TheCinema, Guntur, Andhra Pradesh",CINEMA000005,SCREEN-5ADFILM,CINEMA000005SCREEN-5ADFILM,#Second(s),SECOND,5,10,156,0
N,"Pvr-TheCinema, Guntur, Andhra Pradesh",CINEMA000005,SCREEN-5ADFILM,CINEMA000005SCREEN-5ADFILM,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Ambuja, Patna,Bihar",CINEMA000006,SCREEN-1ADFILM,CINEMA000006SCREEN-1ADFILM,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Ambuja, Patna,Bihar",CINEMA000006,SCREEN-1ADFILM,CINEMA000006SCREEN-1ADFILM,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Ambuja, Patna,Bihar",CINEMA000006,SCREEN-1SLIDE,CINEMA000006SCREEN-1SLIDE,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Ambuja, Patna,Bihar",CINEMA000006,SCREEN-1SLIDE,CINEMA000006SCREEN-1SLIDE,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Ambuja, Patna,Bihar",CINEMA000006,SCREEN-2ADFILM,CINEMA000006SCREEN-2ADFILM,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Ambuja, Patna,Bihar",CINEMA000006,SCREEN-2ADFILM,CINEMA000006SCREEN-2ADFILM,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Ambuja, Patna,Bihar",CINEMA000006,SCREEN-2SLIDE,CINEMA000006SCREEN-2SLIDE,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Ambuja, Patna,Bihar",CINEMA000006,SCREEN-2SLIDE,CINEMA000006SCREEN-2SLIDE,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Ambuja, Patna,Bihar",CINEMA000006,SCREEN-3ADFILM,CINEMA000006SCREEN-3ADFILM,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Ambuja, Patna,Bihar",CINEMA000006,SCREEN-3ADFILM,CINEMA000006SCREEN-3ADFILM,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Ambuja, Patna,Bihar",CINEMA000006,SCREEN-3SLIDE,CINEMA000006SCREEN-3SLIDE,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Ambuja, Patna,Bihar",CINEMA000006,SCREEN-3SLIDE,CINEMA000006SCREEN-3SLIDE,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Ambuja, Patna,Bihar",CINEMA000006,SCREEN-4ADFILM,CINEMA000006SCREEN-4ADFILM,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Ambuja, Patna,Bihar",CINEMA000006,SCREEN-4ADFILM,CINEMA000006SCREEN-4ADFILM,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Ambuja, Patna,Bihar",CINEMA000006,SCREEN-4SLIDE,CINEMA000006SCREEN-4SLIDE,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Ambuja, Patna,Bihar",CINEMA000006,SCREEN-4SLIDE,CINEMA000006SCREEN-4SLIDE,#Week(S),WEEK,1,1,90,0
N,"Pvr Bhilai, Bhilai, Chhattisgarh",CINEMA000008,SCREEN-1ADFILM,CINEMA000008SCREEN-1ADFILM,#Second(s),SECOND,5,10,156,0
N,"Pvr Bhilai, Bhilai, Chhattisgarh",CINEMA000008,SCREEN-1ADFILM,CINEMA000008SCREEN-1ADFILM,#Week(S),WEEK,1,1,90,0
N,"Pvr Bhilai, Bhilai, Chhattisgarh",CINEMA000008,SCREEN-1SLIDE,CINEMA000008SCREEN-1SLIDE,#Second(s),SECOND,5,10,156,0
N,"Pvr Bhilai, Bhilai, Chhattisgarh",CINEMA000008,SCREEN-1SLIDE,CINEMA000008SCREEN-1SLIDE,#Week(S),WEEK,1,1,90,0
N,"Pvr Bhilai, Bhilai, Chhattisgarh",CINEMA000008,SCREEN-2ADFILM,CINEMA000008SCREEN-2ADFILM,#Second(s),SECOND,5,10,156,0
N,"Pvr Bhilai, Bhilai, Chhattisgarh",CINEMA000008,SCREEN-2ADFILM,CINEMA000008SCREEN-2ADFILM,#Week(S),WEEK,1,1,90,0
N,"Pvr Bhilai, Bhilai, Chhattisgarh",CINEMA000008,SCREEN-2SLIDE,CINEMA000008SCREEN-2SLIDE,#Second(s),SECOND,5,10,156,0
N,"Pvr Bhilai, Bhilai, Chhattisgarh",CINEMA000008,SCREEN-2SLIDE,CINEMA000008SCREEN-2SLIDE,#Week(S),WEEK,1,1,90,0
N,"Pvr Bhilai, Bhilai, Chhattisgarh",CINEMA000008,SCREEN-3ADFILM,CINEMA000008SCREEN-3ADFILM,#Second(s),SECOND,5,10,156,0
N,"Pvr Bhilai, Bhilai, Chhattisgarh",CINEMA000008,SCREEN-3ADFILM,CINEMA000008SCREEN-3ADFILM,#Week(S),WEEK,1,1,90,0
N,"Pvr Bhilai, Bhilai, Chhattisgarh",CINEMA000008,SCREEN-3SLIDE,CINEMA000008SCREEN-3SLIDE,#Second(s),SECOND,5,10,156,0
N,"Pvr Bhilai, Bhilai, Chhattisgarh",CINEMA000008,SCREEN-3SLIDE,CINEMA000008SCREEN-3SLIDE,#Week(S),WEEK,1,1,90,0
N,"Pvr Bhilai, Bhilai, Chhattisgarh",CINEMA000008,SCREEN-4ADFILM,CINEMA000008SCREEN-4ADFILM,#Second(s),SECOND,5,10,156,0
N,"Pvr Bhilai, Bhilai, Chhattisgarh",CINEMA000008,SCREEN-4ADFILM,CINEMA000008SCREEN-4ADFILM,#Week(S),WEEK,1,1,90,0
N,"Pvr Bhilai, Bhilai, Chhattisgarh",CINEMA000008,SCREEN-4SLIDE,CINEMA000008SCREEN-4SLIDE,#Second(s),SECOND,5,10,156,0
N,"Pvr Bhilai, Bhilai, Chhattisgarh",CINEMA000008,SCREEN-4SLIDE,CINEMA000008SCREEN-4SLIDE,#Week(S),WEEK,1,1,90,0
N,"Pvr Bilaspur - Magneto Mall, Bilaspur, Chhattisgarh",CINEMA000009,SCREEN-1ADFILM,CINEMA000009SCREEN-1ADFILM,#Second(s),SECOND,5,10,156,0
N,"Pvr Bilaspur - Magneto Mall, Bilaspur, Chhattisgarh",CINEMA000009,SCREEN-1ADFILM,CINEMA000009SCREEN-1ADFILM,#Week(S),WEEK,1,1,90,0
N,"Pvr Bilaspur - Magneto Mall, Bilaspur, Chhattisgarh",CINEMA000009,SCREEN-1SLIDE,CINEMA000009SCREEN-1SLIDE,#Second(s),SECOND,5,10,156,0
N,"Pvr Bilaspur - Magneto Mall, Bilaspur, Chhattisgarh",CINEMA000009,SCREEN-1SLIDE,CINEMA000009SCREEN-1SLIDE,#Week(S),WEEK,1,1,90,0
N,"Pvr Bilaspur - Magneto Mall, Bilaspur, Chhattisgarh",CINEMA000009,SCREEN-2ADFILM,CINEMA000009SCREEN-2ADFILM,#Second(s),SECOND,5,10,156,0
N,"Pvr Bilaspur - Magneto Mall, Bilaspur, Chhattisgarh",CINEMA000009,SCREEN-2ADFILM,CINEMA000009SCREEN-2ADFILM,#Week(S),WEEK,1,1,90,0
N,"Pvr Bilaspur - Magneto Mall, Bilaspur, Chhattisgarh",CINEMA000009,SCREEN-2SLIDE,CINEMA000009SCREEN-2SLIDE,#Second(s),SECOND,5,10,156,0
N,"Pvr Bilaspur - Magneto Mall, Bilaspur, Chhattisgarh",CINEMA000009,SCREEN-2SLIDE,CINEMA000009SCREEN-2SLIDE,#Week(S),WEEK,1,1,90,0
N,"Pvr Bilaspur - Magneto Mall, Bilaspur, Chhattisgarh",CINEMA000009,SCREEN-3ADFILM,CINEMA000009SCREEN-3ADFILM,#Second(s),SECOND,5,10,156,0
N,"Pvr Bilaspur - Magneto Mall, Bilaspur, Chhattisgarh",CINEMA000009,SCREEN-3ADFILM,CINEMA000009SCREEN-3ADFILM,#Week(S),WEEK,1,1,90,0
N,"Pvr Bilaspur - Magneto Mall, Bilaspur, Chhattisgarh",CINEMA000009,SCREEN-3SLIDE,CINEMA000009SCREEN-3SLIDE,#Second(s),SECOND,5,10,156,0
N,"Pvr Bilaspur - Magneto Mall, Bilaspur, Chhattisgarh",CINEMA000009,SCREEN-3SLIDE,CINEMA000009SCREEN-3SLIDE,#Week(S),WEEK,1,1,90,0
N,"Pvr Bilaspur - Magneto Mall, Bilaspur, Chhattisgarh",CINEMA000009,SCREEN-4ADFILM,CINEMA000009SCREEN-4ADFILM,#Second(s),SECOND,5,10,156,0
N,"Pvr Bilaspur - Magneto Mall, Bilaspur, Chhattisgarh",CINEMA000009,SCREEN-4ADFILM,CINEMA000009SCREEN-4ADFILM,#Week(S),WEEK,1,1,90,0
N,"Pvr Bilaspur - Magneto Mall, Bilaspur, Chhattisgarh",CINEMA000009,SCREEN-4SLIDE,CINEMA000009SCREEN-4SLIDE,#Second(s),SECOND,5,10,156,0
N,"Pvr Bilaspur - Magneto Mall, Bilaspur, Chhattisgarh",CINEMA000009,SCREEN-4SLIDE,CINEMA000009SCREEN-4SLIDE,#Week(S),WEEK,1,1,90,0
N,"Cinemax City Centre Mall - Raipur, Raipur, Chhattisgarh",CINEMA000010,SCREEN-1ADFILM,CINEMA000010SCREEN-1ADFILM,#Second(s),SECOND,5,10,156,0
N,"Cinemax City Centre Mall - Raipur, Raipur, Chhattisgarh",CINEMA000010,SCREEN-1ADFILM,CINEMA000010SCREEN-1ADFILM,#Week(S),WEEK,1,1,90,0
N,"Cinemax City Centre Mall - Raipur, Raipur, Chhattisgarh",CINEMA000010,SCREEN-1SLIDE,CINEMA000010SCREEN-1SLIDE,#Second(s),SECOND,5,10,156,0
N,"Cinemax City Centre Mall - Raipur, Raipur, Chhattisgarh",CINEMA000010,SCREEN-1SLIDE,CINEMA000010SCREEN-1SLIDE,#Week(S),WEEK,1,1,90,0
N,"Cinemax City Centre Mall - Raipur, Raipur, Chhattisgarh",CINEMA000010,SCREEN-2ADFILM,CINEMA000010SCREEN-2ADFILM,#Second(s),SECOND,5,10,156,0
N,"Cinemax City Centre Mall - Raipur, Raipur, Chhattisgarh",CINEMA000010,SCREEN-2ADFILM,CINEMA000010SCREEN-2ADFILM,#Week(S),WEEK,1,1,90,0
N,"Cinemax City Centre Mall - Raipur, Raipur, Chhattisgarh",CINEMA000010,SCREEN-2SLIDE,CINEMA000010SCREEN-2SLIDE,#Second(s),SECOND,5,10,156,0
N,"Cinemax City Centre Mall - Raipur, Raipur, Chhattisgarh",CINEMA000010,SCREEN-2SLIDE,CINEMA000010SCREEN-2SLIDE,#Week(S),WEEK,1,1,90,0
N,"Cinemax City Centre Mall - Raipur, Raipur, Chhattisgarh",CINEMA000010,SCREEN-3ADFILM,CINEMA000010SCREEN-3ADFILM,#Second(s),SECOND,5,10,156,0
N,"Cinemax City Centre Mall - Raipur, Raipur, Chhattisgarh",CINEMA000010,SCREEN-3ADFILM,CINEMA000010SCREEN-3ADFILM,#Week(S),WEEK,1,1,90,0
N,"Cinemax City Centre Mall - Raipur, Raipur, Chhattisgarh",CINEMA000010,SCREEN-3SLIDE,CINEMA000010SCREEN-3SLIDE,#Second(s),SECOND,5,10,156,0
N,"Cinemax City Centre Mall - Raipur, Raipur, Chhattisgarh",CINEMA000010,SCREEN-3SLIDE,CINEMA000010SCREEN-3SLIDE,#Week(S),WEEK,1,1,90,0
N,"Cinemax City Centre Mall - Raipur, Raipur, Chhattisgarh",CINEMA000010,SCREEN-4ADFILM,CINEMA000010SCREEN-4ADFILM,#Second(s),SECOND,5,10,156,0
N,"Cinemax City Centre Mall - Raipur, Raipur, Chhattisgarh",CINEMA000010,SCREEN-4ADFILM,CINEMA000010SCREEN-4ADFILM,#Week(S),WEEK,1,1,90,0
N,"Cinemax City Centre Mall - Raipur, Raipur, Chhattisgarh",CINEMA000010,SCREEN-4SLIDE,CINEMA000010SCREEN-4SLIDE,#Second(s),SECOND,5,10,156,0
N,"Cinemax City Centre Mall - Raipur, Raipur, Chhattisgarh",CINEMA000010,SCREEN-4SLIDE,CINEMA000010SCREEN-4SLIDE,#Week(S),WEEK,1,1,90,0
N,"Cinemax City Centre Mall - Raipur, Raipur, Chhattisgarh",CINEMA000010,SCREEN-5ADFILM,CINEMA000010SCREEN-5ADFILM,#Second(s),SECOND,5,10,156,0
N,"Cinemax City Centre Mall - Raipur, Raipur, Chhattisgarh",CINEMA000010,SCREEN-5ADFILM,CINEMA000010SCREEN-5ADFILM,#Week(S),WEEK,1,1,90,0
N,"Cinemax City Centre Mall - Raipur, Raipur, Chhattisgarh",CINEMA000010,SCREEN-5SLIDE,CINEMA000010SCREEN-5SLIDE,#Second(s),SECOND,5,10,156,0
N,"Cinemax City Centre Mall - Raipur, Raipur, Chhattisgarh",CINEMA000010,SCREEN-5SLIDE,CINEMA000010SCREEN-5SLIDE,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Ambuja City Centre Raipur, Raipur, Chhattisgarh",CINEMA000011,SCREEN-1ADFILM,CINEMA000011SCREEN-1ADFILM,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Ambuja City Centre Raipur, Raipur, Chhattisgarh",CINEMA000011,SCREEN-1ADFILM,CINEMA000011SCREEN-1ADFILM,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Ambuja City Centre Raipur, Raipur, Chhattisgarh",CINEMA000011,SCREEN-1SLIDE,CINEMA000011SCREEN-1SLIDE,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Ambuja City Centre Raipur, Raipur, Chhattisgarh",CINEMA000011,SCREEN-1SLIDE,CINEMA000011SCREEN-1SLIDE,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Ambuja City Centre Raipur, Raipur, Chhattisgarh",CINEMA000011,SCREEN-2ADFILM,CINEMA000011SCREEN-2ADFILM,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Ambuja City Centre Raipur, Raipur, Chhattisgarh",CINEMA000011,SCREEN-2ADFILM,CINEMA000011SCREEN-2ADFILM,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Ambuja City Centre Raipur, Raipur, Chhattisgarh",CINEMA000011,SCREEN-2SLIDE,CINEMA000011SCREEN-2SLIDE,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Ambuja City Centre Raipur, Raipur, Chhattisgarh",CINEMA000011,SCREEN-2SLIDE,CINEMA000011SCREEN-2SLIDE,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Ambuja City Centre Raipur, Raipur, Chhattisgarh",CINEMA000011,SCREEN-3ADFILM,CINEMA000011SCREEN-3ADFILM,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Ambuja City Centre Raipur, Raipur, Chhattisgarh",CINEMA000011,SCREEN-3ADFILM,CINEMA000011SCREEN-3ADFILM,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Ambuja City Centre Raipur, Raipur, Chhattisgarh",CINEMA000011,SCREEN-3SLIDE,CINEMA000011SCREEN-3SLIDE,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Ambuja City Centre Raipur, Raipur, Chhattisgarh",CINEMA000011,SCREEN-3SLIDE,CINEMA000011SCREEN-3SLIDE,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Ambuja City Centre Raipur, Raipur, Chhattisgarh",CINEMA000011,SCREEN-4ADFILM,CINEMA000011SCREEN-4ADFILM,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Ambuja City Centre Raipur, Raipur, Chhattisgarh",CINEMA000011,SCREEN-4ADFILM,CINEMA000011SCREEN-4ADFILM,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox Ambuja City Centre Raipur, Raipur, Chhattisgarh",CINEMA000011,SCREEN-4SLIDE,CINEMA000011SCREEN-4SLIDE,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox Ambuja City Centre Raipur, Raipur, Chhattisgarh",CINEMA000011,SCREEN-4SLIDE,CINEMA000011SCREEN-4SLIDE,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox City Mall Raipur, Raipur, Chhattisgarh",CINEMA000012,SCREEN-1ADFILM,CINEMA000012SCREEN-1ADFILM,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox City Mall Raipur, Raipur, Chhattisgarh",CINEMA000012,SCREEN-1ADFILM,CINEMA000012SCREEN-1ADFILM,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox City Mall Raipur, Raipur, Chhattisgarh",CINEMA000012,SCREEN-1SLIDE,CINEMA000012SCREEN-1SLIDE,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox City Mall Raipur, Raipur, Chhattisgarh",CINEMA000012,SCREEN-1SLIDE,CINEMA000012SCREEN-1SLIDE,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox City Mall Raipur, Raipur, Chhattisgarh",CINEMA000012,SCREEN-2ADFILM,CINEMA000012SCREEN-2ADFILM,#Second(s),SECOND,5,10,156,0
N,"Pvr Inox City Mall Raipur, Raipur, Chhattisgarh",CINEMA000012,SCREEN-2ADFILM,CINEMA000012SCREEN-2ADFILM,#Week(S),WEEK,1,1,90,0
N,"Pvr Inox City Mall Raipur, Raipur, Chhattisgarh",CINEMA000012,SCREEN-2SLIDE,CINEMA000012SCREEN-2SLIDE,#Second(s),SECOND,5,10,156,0
